Perfil,Unidade,Serie,Curso,Questão 1. Sei obter informações para realizar os procedimentos administrativos,Questão 3. O horário de atendimento dos docentes é amplamente divulgado e de fácil acesso.,Questão 3. O horário de atendimento dos técnicos administrativos é amplamente divulgado e de fácil acesso,Questão 11.  Como você avalia o ambiente para as aulas quanto à acústica,16. Como você avalia a quantidade de material disponibilizado para as atividades de laboratório ?,Questão 17. Os serviços prestados na cantina são adequados?,"Questão 26. Como você avalia o programa de auxílio à participação em eventos acadêmicos, científicos e tecnológicos.",Questão 26. Como você avalia o programa de acompanhamento de serviço social,"Questão 26. Como você avalia a organização de grêmios estudantis, centros acadêmicos e diretórios acadêmicos",Questão 29. Como você avalia a eficiência e eficácia com que os recursos financeiros do IFSULDEMINAS são aplicados?
Docente,Machado,,,Concordo,Não concordo nem discordo,Não concordo nem discordo,Bom/Boa,Não sei responder,Bons/Boas,Muito bom,Muito bom,Regular,Não sei responder
TAE,Reitoria,,,Concordo,Discordo,Concordo,Não se aplica,Não se aplica,Não se aplica,Não sei,Não sei,Não sei,Boas
Docente,Carmo de Minas,,,Concordo,Concordo plenamente,Concordo,Bom/Boa,Regular,Muito Bons/Boas,Bom,Muito bom,Muito bom,Muito boas
TAE,Passos,,,Concordo,Concordo plenamente,Concordo plenamente,Bom/Boa,Muito boa,Bons/Boas,Bom,Bom,Não sei,Muito boas
TAE,Passos,,,Concordo,Concordo plenamente,Concordo plenamente,Bom/Boa,Boa,Bons/Boas,Bom,Bom,Bom,Regulares
Discente do Superior,Inconfidentes,10°,Engenharia Ambiental,Discordo plenamente,Discordo,Discordo,Regular,Muito ruim,Ruins,Muito ruim,Muito ruim,Muito ruim,Muito ruins
Docente,Passos,,,Concordo plenamente,Concordo plenamente,Concordo plenamente,Muito Bom/Boa,Boa,Muito Bons/Boas,Muito bom,Muito bom,Muito bom,Prefiro não responder
Docente,Machado,,,"Não concordo, nem discordo",Concordo,Não concordo nem discordo,Bom/Boa,Muito ruim,Regulares,Bom,Não sei,Ruim,Boas
Discente do Superior,Pouso Alegre,6°,Bacharelado Engenharia Civil,"Não concordo, nem discordo",Concordo,Não concordo nem discordo,Bom/Boa,Muito ruim,Bons/Boas,Bom,Bom,Bom,Muito ruins
Discente do Técnico,Pouso Alegre,2°  ,Técnico em Química | Integrado,Concordo,Concordo plenamente,Concordo plenamente,Muito Bom/Boa,Muito boa,Regulares,Muito bom,Muito bom,Muito bom,Regulares
Docente,Machado,,,"Não concordo, nem discordo",Discordo,Discordo,Muito Bom/Boa,Não sei responder,Bons/Boas,Muito bom,Não sei,Não sei,Boas
Discente do Superior,Muzambinho,4°,Bacharelado Engenharia Agronômica,"Não concordo, nem discordo",Concordo plenamente,Concordo plenamente,Muito Bom/Boa,Muito boa,Muito Bons/Boas,Muito bom,Muito bom,Bom,Muito boas
Discente do Superior,Pouso Alegre,4°,Licenciatura Matemática,Concordo,Discordo,Não concordo nem discordo,Regular,Não sei responder,Regulares,Não sei,Não sei,Não sei,Não sei responder
Discente do Técnico,Pouso Alegre,1°,Técnico em Química | Integrado,Concordo,Concordo,Concordo,Bom/Boa,Boa,Regulares,Regular,Regular,Regular,Regulares
Discente do Superior,Muzambinho,4°,Bacharelado Engenharia Agronômica,Discordo,Não concordo nem discordo,Não concordo nem discordo,Muito Bom/Boa,Regular,Muito ruins,Não sei,Não sei,Não sei,Regulares
Discente do Superior,Muzambinho,4°,Bacharelado Engenharia Agronômica,Concordo plenamente,Concordo plenamente,Concordo,Ruim,Boa,Muito Bons/Boas,Regular,Bom,Bom,Regulares
Discente do Superior,Poços de Caldas,4°,Licenciatura Geografia,Concordo plenamente,Concordo plenamente,Concordo plenamente,Muito ruim,Regular,Muito ruins,Muito bom,Não sei,Muito ruim,Ruins
Discente do Superior,Pouso Alegre,8°,Bacharelado Engenharia Civil,Concordo plenamente,Não concordo nem discordo,Não concordo nem discordo,Bom/Boa,Muito boa,Bons/Boas,Regular,Não sei,Não sei,Regulares
TAE,Inconfidentes,,,Concordo plenamente,Não concordo nem discordo,Concordo,Ruim,Não sei responder,Não sei responder,Não sei,Não sei,Bom,Regulares
Docente,Machado,,,Concordo,Concordo,Concordo,Bom/Boa,Boa,Muito Bons/Boas,Bom,Bom,Não sei,Boas
Discente do Técnico,Pouso Alegre,1°  ,Técnico em Edificações | Integrado,Concordo plenamente,Concordo,Concordo,Regular,Boa,Regulares,Não sei,Bom,Não sei,Boas
Discente do Técnico,Machado,2°  ,Técnico em Informática | Integrado,Concordo,Discordo,Discordo plenamente,Bom/Boa,Boa,Bons/Boas,Bom,Muito ruim,Muito ruim,Regulares
Discente do Técnico,Pouso Alegre,2°,Técnico em Química | Subsequente,Concordo plenamente,Não concordo nem discordo,Concordo,Regular,Muito boa,Bons/Boas,Não sei,Não sei,Não sei,Não sei responder
Discente do Superior,Machado,5°,Bacharelado Agronomia,Concordo,Concordo plenamente,Concordo,Bom/Boa,Regular,Muito Bons/Boas,Muito bom,Muito bom,Não sei,Regulares
Discente do Superior,Pouso Alegre,6°,Bacharelado Engenharia Civil,"Não concordo, nem discordo",Não concordo nem discordo,Discordo,Muito ruim,Muito boa,Muito ruins,Não sei,Não sei,Não sei,Ruins
Discente do Superior,Machado,1°,Bacharelado Agronomia,Concordo plenamente,Prefiro não responder,Prefiro não responder,Bom/Boa,Boa,Bons/Boas,Bom,Bom,Regular,Boas
Discente do Superior,Pouso Alegre,2°,Bacharelado Engenharia Química,"Não concordo, nem discordo",Não concordo nem discordo,Discordo,Ruim,Ruim,Bons/Boas,Muito ruim,Ruim,Muito ruim,Muito ruins
Discente do Técnico,Passos,2°,Técnico em Serviços Públicos - EaD | Subsequente,Concordo plenamente,Discordo plenamente,Discordo plenamente,Bom/Boa,Ruim,Não sei responder,Não sei,Não sei,Não sei,Boas
Discente do Técnico,Pouso Alegre,2°  ,Técnico em Química | Integrado,Discordo plenamente,Concordo,Concordo,Ruim,Regular,Ruins,Muito ruim,Não sei,Ruim,Não sei responder
Docente,Carmo de Minas,,,Concordo,Concordo,Concordo,Muito Bom/Boa,Não sei responder,Muito Bons/Boas,Bom,Não sei,Regular,Boas
TAE,Poços de Caldas,,,"Não concordo, nem discordo",Concordo plenamente,Concordo plenamente,Muito Bom/Boa,Boa,Bons/Boas,Bom,Bom,Bom,Muito boas
Discente do Técnico,Pouso Alegre,2°  ,Técnico em Informática | Integrado,Concordo plenamente,Concordo plenamente,Não concordo nem discordo,Bom/Boa,Não se aplica,Ruins,Bom,Bom,Bom,Boas
Docente,Muzambinho,,,Concordo plenamente,Concordo plenamente,Concordo plenamente,Muito Bom/Boa,Muito boa,Muito Bons/Boas,Muito bom,Muito bom,Muito bom,Muito boas
Discente do Superior,Pouso Alegre,2°,Bacharelado Engenharia Química,Concordo,Concordo plenamente,Concordo plenamente,Bom/Boa,Boa,Muito Bons/Boas,Muito bom,Muito bom,Bom,Boas
Docente,Inconfidentes,,,Concordo plenamente,Concordo,Não concordo nem discordo,Bom/Boa,Boa,Bons/Boas,Bom,Bom,Bom,Boas
Discente do Técnico,Machado,1°  ,Técnico em Informática | Integrado,Concordo,Não concordo nem discordo,Prefiro não responder,Bom/Boa,Boa,Bons/Boas,Prefiro não responder,Muito ruim,Regular,Boas
Discente do Superior,Machado,4°,Bacharelado Agronomia,Discordo plenamente,Discordo,Discordo,Ruim,Ruim,Regulares,Ruim,Muito ruim,Ruim,Muito ruins
TAE,Reitoria,,,Concordo,Não sei responder,Concordo,Não se aplica,Não se aplica,Não se aplica,Bom,Prefiro não responder,Prefiro não responder,Não sei responder
Docente,Pouso Alegre,,,Concordo plenamente,Concordo,Concordo,Muito ruim,Boa,Ruins,Bom,Bom,Bom,Boas
Docente,Muzambinho,,,Concordo plenamente,Concordo plenamente,Concordo plenamente,Muito Bom/Boa,Boa,Prefiro não responder,Muito bom,Muito bom,Muito bom,Muito boas
Discente do Técnico,Muzambinho,2°  ,Técnico em Agropecuária | Integrado,Concordo,Não concordo nem discordo,Não concordo nem discordo,Muito Bom/Boa,Muito boa,Muito Bons/Boas,Muito bom,Muito bom,Muito bom,Boas
Docente,Machado,,,Concordo plenamente,Concordo,Concordo,Bom/Boa,Boa,Bons/Boas,Bom,Bom,Regular,Boas
Discente do Técnico,Muzambinho,2°  ,Técnico em Agropecuária | Integrado,Concordo,Concordo,Não sei responder,Bom/Boa,Boa,Regulares,Muito bom,Bom,Muito bom,Regulares
TAE,Reitoria,,,Concordo,Não sei responder,Não concordo nem discordo,Prefiro não responder,Não se aplica,Não se aplica,Não sei,Não sei,Não sei,Regulares
Discente do Técnico,Muzambinho,2°  ,Técnico em Agropecuária | Integrado,"Não concordo, nem discordo",Não concordo nem discordo,Discordo,Ruim,Regular,Bons/Boas,Ruim,Não sei,Muito ruim,Ruins
Discente do Técnico,Machado,3°,Técnico em Informática | Integrado,"Não concordo, nem discordo",Concordo,Concordo,Regular,Ruim,Bons/Boas,Regular,Ruim,Ruim,Ruins
Docente,Inconfidentes,,,Concordo,Concordo,Concordo,Regular,Ruim,Bons/Boas,Bom,Bom,Bom,Boas
TAE,Inconfidentes,,,Concordo plenamente,Não concordo nem discordo,Não concordo nem discordo,Não sei responder,Não sei responder,Não sei responder,Muito bom,Bom,Bom,Regulares
Discente do Técnico,Muzambinho,3°  ,Técnico em Agropecuária | Integrado,Concordo plenamente,Concordo plenamente,Concordo plenamente,Muito Bom/Boa,Muito boa,Bons/Boas,Muito bom,Muito bom,Muito bom,Boas
Discente do Técnico,Poços de Caldas,3°  ,Técnico em Administração | Integrado,Concordo,Concordo,Concordo,Bom/Boa,Boa,Bons/Boas,Bom,Bom,Bom,Prefiro não responder
TAE,Inconfidentes,,,Concordo,Discordo,Discordo,Não sei responder,Não sei responder,Não sei responder,Prefiro não responder,Prefiro não responder,Prefiro não responder,Regulares
Discente do Técnico,Poços de Caldas,3°  ,Técnico em Administração | Integrado,Concordo,Concordo,Concordo,Muito Bom/Boa,Boa,Não se aplica,Muito bom,Muito bom,Muito bom,Boas
Discente do Técnico,Poços de Caldas,3°  ,Técnico em Administração | Integrado,Concordo,Concordo plenamente,Concordo plenamente,Regular,Muito boa,Bons/Boas,Bom,Bom,Bom,Boas
Discente do Técnico,Poços de Caldas,3°  ,Técnico em Administração | Integrado,Concordo,Concordo,Não concordo nem discordo,Bom/Boa,Regular,Bons/Boas,Muito bom,Muito bom,Regular,Não sei responder
Discente do Técnico,Poços de Caldas,6°,Técnico em Administração | Integrado,Concordo plenamente,Concordo,Concordo,Muito Bom/Boa,Boa,Regulares,Regular,Bom,Regular,Não sei responder
Discente do Técnico,Poços de Caldas,3°  ,Técnico em Administração | Integrado,"Não concordo, nem discordo",Concordo plenamente,Discordo,Bom/Boa,Muito boa,Regulares,Bom,Bom,Muito ruim,Boas
Discente do Técnico,Poços de Caldas,3°,Técnico em Administração | Integrado,Concordo,Concordo plenamente,Discordo,Muito Bom/Boa,Prefiro não responder,Bons/Boas,Bom,Não sei,Muito ruim,Boas
Discente do Técnico,Poços de Caldas,6°,Técnico em Administração | Integrado,"Não concordo, nem discordo",Concordo plenamente,Concordo plenamente,Regular,Regular,Bons/Boas,Muito bom,Regular,Ruim,Muito boas
Discente do Técnico,Poços de Caldas,3°  ,Técnico em Administração | Integrado,Concordo,Concordo,Não concordo nem discordo,Bom/Boa,Muito boa,Bons/Boas,Bom,Bom,Bom,Regulares
Discente do Técnico,Poços de Caldas,3°  ,Técnico em Administração | Integrado,"Não concordo, nem discordo",Concordo,Não concordo nem discordo,Bom/Boa,Boa,Regulares,Bom,Bom,Regular,Boas
Discente do Superior,Poços de Caldas,2°,Licenciatura Ciências Biológicas,Concordo,Concordo plenamente,Não concordo nem discordo,Muito Bom/Boa,Regular,Regulares,Muito bom,Muito bom,Muito bom,Muito boas
TAE,Inconfidentes,,,Concordo,Concordo,Concordo plenamente,Bom/Boa,Boa,Muito Bons/Boas,Bom,Bom,Bom,Regulares
Discente do Técnico,Poços de Caldas,3°  ,Técnico em Informática | Integrado,Concordo plenamente,Concordo plenamente,Discordo,Muito Bom/Boa,Boa,Bons/Boas,Regular,Regular,Regular,Muito boas
Discente do Técnico,Poços de Caldas,3°  ,Técnico em Informática | Integrado,Não sei responder,Não sei responder,Discordo,Muito Bom/Boa,Não sei responder,Ruins,Bom,Muito ruim,Ruim,Regulares
TAE,Inconfidentes,,,"Não concordo, nem discordo",Não concordo nem discordo,Concordo plenamente,Prefiro não responder,Prefiro não responder,Prefiro não responder,Prefiro não responder,Não sei,Não sei,Prefiro não responder
Discente do Técnico,Poços de Caldas,3°  ,Técnico em Informática | Integrado,Concordo plenamente,Não concordo nem discordo,Não concordo nem discordo,Muito Bom/Boa,Muito boa,Muito Bons/Boas,Muito bom,Muito bom,Muito bom,Boas
Discente do Técnico,Poços de Caldas,6°,Técnico em Informática | Integrado,Concordo,Não concordo nem discordo,Discordo,Bom/Boa,Regular,Ruins,Muito ruim,Não sei,Muito ruim,Regulares
Discente do Técnico,Poços de Caldas,3°  ,Técnico em Informática | Integrado,Concordo,Concordo plenamente,Concordo plenamente,Muito Bom/Boa,Muito boa,Muito Bons/Boas,Muito bom,Bom,Regular,Regulares
Discente do Técnico,Poços de Caldas,6°,Técnico em Informática | Integrado,Concordo,Discordo,Não concordo nem discordo,Bom/Boa,Regular,Bons/Boas,Ruim,Não sei,Regular,Não sei responder
TAE,Inconfidentes,,,Concordo,Concordo,Concordo,Bom/Boa,Não sei responder,Não sei responder,Bom,Bom,Bom,Boas
Docente,Inconfidentes,,,Concordo,Discordo,Concordo,Bom/Boa,Boa,Bons/Boas,Bom,Regular,Regular,Regulares
Docente,Poços de Caldas,,,Concordo plenamente,Concordo plenamente,Concordo plenamente,Muito Bom/Boa,Muito boa,Muito Bons/Boas,Muito bom,Muito bom,Bom,Muito boas
Discente do Técnico,Poços de Caldas,3°  ,Técnico em Administração | Integrado,Concordo,Concordo,Não concordo nem discordo,Bom/Boa,Boa,Muito Bons/Boas,Bom,Bom,Bom,Boas
Discente do Técnico,Poços de Caldas,3°  ,Técnico em Informática | Integrado,Concordo plenamente,Concordo plenamente,Concordo,Muito Bom/Boa,Boa,Bons/Boas,Bom,Não sei,Muito ruim,Boas
Docente,Poços de Caldas,,,Concordo plenamente,Concordo plenamente,Não concordo nem discordo,Muito Bom/Boa,Não sei responder,Bons/Boas,Bom,Regular,Regular,Muito boas
Discente do Técnico,Poços de Caldas,6°,Técnico em Informática | Integrado,Discordo,Concordo,Discordo,Ruim,Ruim,Bons/Boas,Regular,Não sei,Não sei,Boas
Discente do Técnico,Poços de Caldas,6°,Técnico em Informática | Integrado,Concordo,Concordo,Discordo,Regular,Boa,Regulares,Regular,Não sei,Bom,Boas
Discente do Técnico,Poços de Caldas,6°,Técnico em Informática | Integrado,Concordo,Concordo,Não concordo nem discordo,Ruim,Regular,Ruins,Regular,Não sei,Não sei,Não sei responder
Discente do Superior,Poços de Caldas,10°,Bacharelado Engenharia de Computação,Discordo,Concordo plenamente,Concordo plenamente,Ruim,Muito boa,Bons/Boas,Prefiro não responder,Prefiro não responder,Prefiro não responder,Não sei responder
Discente do Superior,Poços de Caldas,6°,Bacharelado Engenharia de Computação,Concordo,Concordo plenamente,Não concordo nem discordo,Bom/Boa,Muito boa,Regulares,Muito bom,Não sei,Não sei,Não sei responder
Discente do Superior,Poços de Caldas,6°,Bacharelado Engenharia de Computação,Concordo plenamente,Não concordo nem discordo,Não concordo nem discordo,Muito Bom/Boa,Regular,Muito Bons/Boas,Muito bom,Bom,Regular,Boas
Discente do Superior,Poços de Caldas,6°,Bacharelado Engenharia de Computação,Concordo plenamente,Concordo plenamente,Concordo plenamente,Muito Bom/Boa,Muito boa,Muito Bons/Boas,Muito bom,Muito bom,Muito bom,Boas
Discente do Superior,Poços de Caldas,8°,Bacharelado Engenharia de Computação,Concordo,Não concordo nem discordo,Não concordo nem discordo,Bom/Boa,Boa,Bons/Boas,Bom,Não sei,Regular,Boas
Discente do Superior,Poços de Caldas,10°,Bacharelado Engenharia de Computação,Concordo,Discordo,Não sei responder,Bom/Boa,Regular,Bons/Boas,Muito bom,Não sei,Regular,Boas
Discente do Superior,Poços de Caldas,6°,Bacharelado Engenharia de Computação,"Não concordo, nem discordo",Concordo,Não concordo nem discordo,Bom/Boa,Boa,Regulares,Regular,Regular,Regular,Regulares
Discente do Superior,Poços de Caldas,6°,Bacharelado Engenharia de Computação,Concordo plenamente,Concordo,Concordo,Regular,Regular,Bons/Boas,Bom,Bom,Regular,Boas
Discente do Técnico,Poços de Caldas,6°,Técnico em Informática | Integrado,Concordo plenamente,Concordo plenamente,Concordo plenamente,Muito Bom/Boa,Muito boa,Muito Bons/Boas,Muito bom,Não sei,Regular,Boas
Discente do Superior,Passos,8°,Bacharelado Ciência da Computação,Concordo plenamente,Não concordo nem discordo,Não concordo nem discordo,Muito Bom/Boa,Muito boa,Muito Bons/Boas,Bom,Prefiro não responder,Prefiro não responder,Regulares
Discente do Superior,Poços de Caldas,6°,Bacharelado Engenharia de Computação,Concordo,Concordo,Não concordo nem discordo,Bom/Boa,Boa,Bons/Boas,Ruim,Prefiro não responder,Bom,Não sei responder
Discente do Superior,Poços de Caldas,4°,Bacharelado Engenharia de Computação,Discordo plenamente,Concordo,Não concordo nem discordo,Ruim,Boa,Regulares,Ruim,Muito bom,Bom,Regulares
Discente do Superior,Poços de Caldas,4°,Bacharelado Engenharia de Computação,Concordo,Não sei responder,Não sei responder,Muito ruim,Boa,Muito ruins,Regular,Não sei,Não sei,Boas
Discente do Superior,Poços de Caldas,4°,Bacharelado Engenharia de Computação,"Não concordo, nem discordo",Concordo,Não concordo nem discordo,Muito Bom/Boa,Regular,Ruins,Não sei,Não sei,Bom,Muito boas
Discente do Superior,Poços de Caldas,4°,Bacharelado Engenharia de Computação,Concordo plenamente,Concordo plenamente,Não concordo nem discordo,Regular,Muito boa,Bons/Boas,Bom,Bom,Muito bom,Boas
Discente do Superior,Poços de Caldas,6°,Bacharelado Engenharia de Computação,Concordo,Concordo,Não concordo nem discordo,Bom/Boa,Regular,Bons/Boas,Muito bom,Não sei,Ruim,Boas
Discente do Superior,Poços de Caldas,4°,Bacharelado Engenharia de Computação,Discordo,Concordo,Não concordo nem discordo,Muito Bom/Boa,Muito boa,Bons/Boas,Muito bom,Bom,Bom,Boas
Discente do Superior,Poços de Caldas,4°,Bacharelado Engenharia de Computação,Discordo,Discordo plenamente,Não concordo nem discordo,Bom/Boa,Boa,Bons/Boas,Ruim,Bom,Regular,Regulares
Discente do Superior,Poços de Caldas,4°,Bacharelado Engenharia de Computação,Concordo,Concordo plenamente,Não concordo nem discordo,Regular,Boa,Regulares,Não sei,Não sei,Prefiro não responder,Boas
Discente do Superior,Poços de Caldas,4°,Bacharelado Engenharia de Computação,Discordo plenamente,Concordo,Não sei responder,Ruim,Regular,Ruins,Ruim,Ruim,Ruim,Ruins
Discente do Superior,Poços de Caldas,4°,Bacharelado Engenharia de Computação,"Não concordo, nem discordo",Concordo,Concordo,Bom/Boa,Regular,Bons/Boas,Bom,Regular,Prefiro não responder,Regulares
Discente do Superior,Poços de Caldas,4°,Bacharelado Engenharia de Computação,Discordo,Concordo plenamente,Concordo,Muito ruim,Muito boa,Muito Bons/Boas,Regular,Bom,Bom,Não sei responder
Discente do Superior,Poços de Caldas,4°,Bacharelado Engenharia de Computação,Discordo,Concordo,Concordo,Muito Bom/Boa,Boa,Regulares,Bom,Bom,Regular,Regulares
Discente do Superior,Poços de Caldas,4°,Bacharelado Engenharia de Computação,Concordo,Não concordo nem discordo,Não concordo nem discordo,Ruim,Boa,Bons/Boas,Regular,Bom,Muito bom,Boas
Docente,Inconfidentes,,,Concordo,Concordo,Concordo,Bom/Boa,Boa,Bons/Boas,Bom,Bom,Bom,Boas
Discente do Superior,Machado,9°,Bacharelado Agronomia,Concordo,Concordo,Concordo,Bom/Boa,Muito boa,Bons/Boas,Bom,Bom,Bom,Boas
Discente do Superior,Poços de Caldas,6°,Bacharelado Engenharia de Computação,Concordo,Não concordo nem discordo,Não concordo nem discordo,Bom/Boa,Boa,Bons/Boas,Bom,Regular,Muito ruim,Boas
Discente do Superior,Machado,9°,Bacharelado Agronomia,Não sei responder,Não concordo nem discordo,Não sei responder,Bom/Boa,Boa,Bons/Boas,Bom,Bom,Ruim,Ruins
Docente,Machado,,,Concordo,Concordo,Não concordo nem discordo,Regular,Regular,Regulares,Não sei,Não sei,Não sei,Regulares
Docente,Poços de Caldas,,,"Não concordo, nem discordo",Concordo,Concordo,Regular,Regular,Regulares,Bom,Bom,Bom,Regulares
Discente do Superior,Poços de Caldas,5°,Bacharelado Administração,Concordo,Discordo,Discordo,Bom/Boa,Não se aplica,Regulares,Muito ruim,Muito ruim,Muito ruim,Ruins
TAE,Poços de Caldas,,,Concordo plenamente,Não concordo nem discordo,Concordo plenamente,Muito Bom/Boa,Não sei responder,Regulares,Não sei,Regular,Regular,Ruins
Discente do Superior,Machado,9°,Bacharelado Agronomia,Concordo,Concordo plenamente,Concordo plenamente,Regular,Regular,Regulares,Regular,Regular,Ruim,Regulares
Discente do Técnico,Poços de Caldas,3°  ,Técnico em Eletroeletrônica | Integrado,Concordo,Concordo,Concordo,Bom/Boa,Boa,Muito Bons/Boas,Bom,Bom,Regular,Boas
Discente do Superior,Poços de Caldas,2°,"Mestrado Profissional em Educação, Profissional e Tecnológica (ProfEPT)","Não concordo, nem discordo",Concordo,Concordo,Bom/Boa,Regular,Regulares,Regular,Não sei,Não sei,Boas
Discente do Superior,Poços de Caldas,8°,Bacharelado Engenharia de Computação,Concordo plenamente,Concordo plenamente,Concordo,Muito Bom/Boa,Boa,Bons/Boas,Muito bom,Muito bom,Muito bom,Boas
